Year,Distance,Owner,Fuel,Location,Drive,Type,Price,Brand,Model
2022.0,3878,1,PETROL,HR-98,Manual,HatchBack,514000,Maruti,S PRESSO
2018.0,32041,1,PETROL,TN-22,Manual,Sedan,674000,Hyundai,Xcent
2021.0,96339,1,DIESEL,TS-08,Automatic,SUV,1952000,Tata,Other
2019.0,51718,1,DIESEL,WB-24,Manual,SUV,690000,Maruti,Vitara Brezza
2021.0,19811,1,PETROL,HR-51,Manual,HatchBack,526000,Tata,Tiago
2017.0,70129,1,PETROL,MH-14,Manual,HatchBack,552000,Maruti,Swift
2021.0,31945,2,PETROL,UP-32,Automatic,HatchBack,518000,Renault,Kwid
2015.0,39950,1,PETROL,HR-26,Manual,HatchBack,443000,Hyundai,Grand i10
2018.0,56697,1,DIESEL,KA-04,Automatic,HatchBack,710350,Maruti,Swift
2018.0,38184,2,CNG,PB-10,Automatic,HatchBack,548000,Maruti,IGNIS
2019.0,30347,1,PETROL,MH-48,Automatic,HatchBack,481000,Maruti,S PRESSO
2012.0,42375,2,PETROL,GJ-05,Manual,HatchBack,312000,Honda,Brio
2019.0,47231,1,PETROL,GJ-27,Manual,HatchBack,613000,Hyundai,Elite i20
2018.0,60042,1,PETROL,MH-47,Manual,HatchBack,614000,Maruti,Baleno
2017.0,93518,1,DIESEL,KA-01,Manual,SUV,693000,Honda,WR-V
2019.0,33245,1,PETROL,MH-01,Manual,Sedan,439000,Honda,Amaze
2016.0,43717,1,PETROL,GJ-01,Manual,HatchBack,294000,Maruti,Alto 800
2021.0,1863,1,PETROL,PB-91,Automatic,HatchBack,716000,Maruti,Celerio
2019.0,50078,1,PETROL,TN-19,Manual,SUV,836000,Ford,Ecosport
2018.0,63856,1,PETROL,UP-16,Manual,Sedan,794000,Maruti,Ciaz
2018.0,72337,1,PETROL,KA-19,Manual,HatchBack,324000,Renault,Kwid
2021.0,14567,1,PETROL,WB-02,Manual,HatchBack,678000,Maruti,Swift
2018.0,36778,1,CNG,DL-8C,Manual,HatchBack,587000,Hyundai,Elite i20
2015.0,50419,1,PETROL,DL-12,Manual,HatchBack,474000,Hyundai,Elite i20
2010.0,45257,1,DIESEL,HR-51,Manual,Sedan,608000,Honda,City
2016.0,40368,1,PETROL,HR-26,Manual,HatchBack,477000,Maruti,Swift
2016.0,37488,1,PETROL,CH-01,Manual,HatchBack,205000,Datsun,Redi Go
2019.0,43253,1,PETROL,KA-53,Manual,HatchBack,574000,Tata,Other
2022.0,6587,1,PETROL,KA-02,Manual,HatchBack,572000,Renault,Kwid
2019.0,37566,2,PETROL,TS-13,Manual,Sedan,635000,Honda,Amaze
